framework,namespace,pod,container,type,network_type,value
karmada,kube-system,kube-scheduler-kubernetes-1,POD,received_packets,kubernetes,25.628118021595466
karmada,kube-system,kube-scheduler-kubernetes-1,POD,transmit_bytes,kubernetes,34870.24281277848
karmada,kube-system,kube-scheduler-kubernetes-1,POD,transmit_packets,kubernetes,24.696747305727587
karmada,kube-system,metrics-server-69fb86cf66-s7492,POD,received_bytes,kubernetes,167687.4490183366
karmada,kube-system,metrics-server-69fb86cf66-s7492,POD,received_packets,kubernetes,2588.0086525881
karmada,kube-system,metrics-server-69fb86cf66-s7492,POD,transmit_bytes,kubernetes,181492.17168692825
karmada,kube-system,metrics-server-69fb86cf66-s7492,POD,transmit_packets,kubernetes,2598.2147316191163
kubernetes,default,management-overhead-client-6764f774cb-2p44f,POD,received_bytes,kubernetes,8661.996019585777
kubernetes,default,management-overhead-client-6764f774cb-2p44f,POD,received_packets,kubernetes,118.92511024303703
kubernetes,default,management-overhead-client-6764f774cb-2p44f,POD,transmit_bytes,kubernetes,9048.678739819527
kubernetes,default,management-overhead-client-6764f774cb-2p44f,POD,transmit_packets,kubernetes,125.39386166856816
kubernetes,default,management-overhead-client-6764f774cb-4rk57,POD,received_bytes,kubernetes,9450.349338010587
kubernetes,default,management-overhead-client-6764f774cb-4rk57,POD,received_packets,kubernetes,130.25117596820814
kubernetes,default,management-overhead-client-6764f774cb-4rk57,POD,transmit_bytes,kubernetes,9855.930511702702
kubernetes,default,management-overhead-client-6764f774cb-4rk57,POD,transmit_packets,kubernetes,137.03036883559213
kubernetes,default,management-overhead-client-6764f774cb-4xsdr,POD,received_bytes,kubernetes,9739.786384442099
kubernetes,default,management-overhead-client-6764f774cb-4xsdr,POD,received_packets,kubernetes,134.30026962649794
kubernetes,default,management-overhead-client-6764f774cb-4xsdr,POD,transmit_bytes,kubernetes,10157.44017072074
kubernetes,default,management-overhead-client-6764f774cb-4xsdr,POD,transmit_packets,kubernetes,141.26903898566638
kubernetes,default,management-overhead-client-6764f774cb-59k6m,POD,received_bytes,kubernetes,9199.224953113955
kubernetes,default,management-overhead-client-6764f774cb-59k6m,POD,received_packets,kubernetes,126.68542452842632
kubernetes,default,management-overhead-client-6764f774cb-59k6m,POD,transmit_bytes,kubernetes,9599.246345457797
kubernetes,default,management-overhead-client-6764f774cb-59k6m,POD,transmit_packets,kubernetes,133.35436129248828
kubernetes,default,management-overhead-client-6764f774cb-5k2qs,POD,received_bytes,kubernetes,9174.278897663484
kubernetes,default,management-overhead-client-6764f774cb-5k2qs,POD,received_packets,kubernetes,126.47697861320232
kubernetes,default,management-overhead-client-6764f774cb-5k2qs,POD,transmit_bytes,kubernetes,9567.8369479525
